Email_Client,Product,Price,Pay_Method,Bank,Type_Card,Street,Number,Region
smithsara@yahoo.cl,EEEONE For NAKAMICHI 1000mb Mobile dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals (Color : NAKAMICHII),52.35,MercadoPago,Scotiabank Chile,American Express,MANUEL THOMPSON,6687,Región de Los Ríos
oglenn@gmail.com,EEEONE Replacement For TASCAM CD-160MKII CD Player Spare Parts Laser Lens Lasereinheit ASSY Unit CD160MKII Optical Pickup BlocOptique opticals,54.18,PagoFacil,Banco Security,MasterCard Débito,COBIJA,6670,Región de Magallanes y de la Antártica Chilena
susan68@msn.com,"Lens Optical Pick Ups with Bracket, Aluminum Alloy Visible Light Band Quick Reading CD Player Optical Pick Head (For Marantz SACD Laser Head, for SCD XA777, for)",86.71,Paypal,Banco Crédito e Inversiones (BCI),Diners Club,OSORNO,6133,Región Metropolitana de Santiago
gabrielle27@gmail.cl,EEEONE Replacement for MARANTZ CD5400 CD-5400 Radio CD Player Laser Head Optical Pick-ups Bloc Optique Repair Parts opticals,39.95,OnePay,Banco Consorcio,Magna,ELOISA VIUDA DE ZURITA,1448,Región de Los Lagos
sarahhall@live.com,Edifier R1850DB Active Bookshelf Speakers with Bluetooth and Optical Input - 2.0 Studio Monitor Speaker - Built-in Amplifier with Subwoofer Line Out,117.59,Fintoc,Banco Santander Chile,Maestro,PATRIA VIEJA,6864,Región de Antofagasta
chaneypatricia@live.com,EEEONE For PIONEER PD-C5 PDC5 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,28.99,Flow,Banco Falabella,Mach,ORIENTAL,5445,Región del Maule
sortiz@gmail.com,"MAJORITY Sierra 2.1.2 Dolby Atmos Soundbar | Wireless Subwoofer I 400W Powerful Surround Sound | Home Theatre 3D Audio with Up-Firing Atmos Speakers | HDMI ARC, HDMI, Bluetooth, USB & AUX Playback",25.99,WebPay,Banco de Chile,Visa,TEATINOS,6155,Región de Arica y Parinacota
jeffrey01@hotmail.cl,EEEONE For MARANTZ PMD320 PMD330 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,59.58,Mach,Banco Estado (Banco del Estado de Chile),Visa Débito,LAUTARO ESPINDOLA,634,Región del Biobío
danielle80@msn.com,"KSS-213B Optical Pick Up Laser Lens, High Accuracy Laser Head Replacement for CD Mechanism Replacement Part",51.48,Tenpo,Banco Itaú-Corpbanca,MasterCard,CLAUDIO GAY,6218,Región del Libertador General Bernardo O'Higgins
cathy08@msn.com,"LEICKE Bluetooth Shower Speaker,Wireless Portable Bluetooth Speaker,Dust/Steam/Waterproof Shower Speaker with Suction Cup | Small Portable Wireless Speaker for Bathroom,Beach,Sauna etc",299.0,MercadoPago,Banco Ripley,Redcompra,PATRIA VIEJA,864,Región de Aysén del General Carlos Ibáñez del Campo
dennissusan@gmail.cl,DALI Oberon 5 Floorstanding Speakers (Pair) (Dark Walnut),32.56,PagoFacil,Banco Internacional,Tenpo,TEATINOS,5723,Región de Valparaíso
halexander@icloud.com,"Kanto YU6BAMBOO Powered Bookshelf Speakers with Bluetooth and Phono Preamp | 5.25"" Kevlar Driver | 200W Peak Power | Pair | Bamboo",8.74,Paypal,Banco BICE,American Express,ABRAHAM LINCOLN,4698,Región de Ñuble
karenatkins@icloud.com,EEEONE Replacement For DENON DCD-520AE CD Player Spare Parts Laser Lasereinheit ASSY Unit DCD520AE Optical Pickup Bloc Optique opticals,41.82,OnePay,Scotiabank Chile,MasterCard Débito,PANTALEON CORTES,370,Región de Atacama
diamondgeorge@yahoo.com,Portable DVD Player for Car 1080P 10.1/12.1 Inch Car Monitor Flip Down TFT LCD Automobile Roof Mount Monitors With MP5 Player USB TF Car Ceiling Monitor Support USB/SD Card Reader ( Color : 10.1 inch,339.0,Fintoc,Banco Security,Diners Club,SOCOS,5414,Región de Tarapacá
xtaylor@icloud.com,EEEONE Original Replacement For SUGDEN CD-98 Player Laser Lens Assembly CD-98 Optical Pick-up Bloc Optique Unit opticals,439.99,Flow,Banco Crédito e Inversiones (BCI),Magna,GRAN AVENIDA,6177,Región de Coquimbo
melissabrown@icloud.com,Roberts Beacon 330 Bluetooth Speaker with EQ & Stereo Pairing - Pastel Cream,45.99,WebPay,Banco Consorcio,Maestro,TENGLO,6138,Región de La Araucanía
mandysmith@outlook.com,Klipsch THE FIVES MATTE BLACK,51.48,Mach,Banco Santander Chile,Mach,JUAN ANTONIO RIOS,6397,Región de Los Ríos
pcooke@hotmail.cl,"OLLIRG Portable DVD player 17.3 Inch Car Monitor IPS Screen 2+16GB Car Roof Mount Display Multimedia TV 1080P Ceiling Video Player Wifi HDMI BT for Car (Color : 15.6 IPS Gray, Size : 1)",46.45,Tenpo,Banco Falabella,Visa,CARDENAL CARLOS OVIEDO CAVADA,6038,Región de Magallanes y de la Antártica Chilena
carterjohn@gmail.com,"Optical Pickup Drive Head, Visible Light Electric Excitation Power Output Pick Up Optical Lens Single Channel Low Speed Good Compatibility for Disc Reading",23.12,MercadoPago,Banco de Chile,Visa Débito,ESCONDIDA,6289,Región Metropolitana de Santiago
ymartinez@gmail.com,FAVOMOTO Recorder Rubber Belts 20pcs Cassette Recorder Player Drive Belts Repair Rebuild for Turntable Repair Maintenance Black,51.55,PagoFacil,Banco Estado (Banco del Estado de Chile),MasterCard,PLUMERILLO,1560,Región de Los Lagos
eric07@icloud.com,EEEONE For SONY CDP-771 CDP771 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,47.32,Paypal,Banco Itaú-Corpbanca,Redcompra,FRESIA,1667,Región de Antofagasta
rebeccaspencer@gmail.cl,"LG G1 Soundbar with 360 W Power 3.1 Channels with Hi-Res Audio, Dolby Atmos, DTS:X and HDMI eARC",30.7,OnePay,Banco Ripley,Tenpo,MERCED,983,Región del Maule
ashleysmith@live.com,"Pyle PIC8E 2-Way In-Wall In-Ceiling Speaker System - Dual 8"" 300W Pair of Ceiling Wall Flush Mount Speakers w/ 1"" Silk Dome Tweeter, Adjustable Treble Control - For Home Theater Entertainment, Blue",8.2,Fintoc,Banco Internacional,American Express,ESPAÑA,5953,Región de Arica y Parinacota
sarah41@yahoo.com,EEEONE For ROTEL RCC-955 RCC955 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals (Color : ROTEL RCC-955),10.98,Flow,Banco BICE,MasterCard Débito,LA UNION,6860,Región del Biobío
nmacdonald@gmail.cl,"Jabra Speak2 75 Wireless Bluetooth Speakerphone with 4 Noise-cancelling Mics, Full-range 65mm Speaker and Super-wideband Audio - MS Teams Certified, Works with Other Platforms - Dark Grey",13.92,WebPay,Scotiabank Chile,Diners Club,MANUEL THOMPSON,1552,Región del Libertador General Bernardo O'Higgins
kari69@msn.com,EEEONE Original Replacement For YAMAHA CDX-510 CD Player Spare Parts Laser Lasereinheit ASSY Unit CDX510 Optical Pickup Bloc Optique opticals,40.84,Mach,Banco Security,Magna,ISABEL LA CATOLICA,441,Región de Aysén del General Carlos Ibáñez del Campo
steven44@live.com,EEEONE For SONY CDP-MS1 CDPMS1 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,47.65,Tenpo,Banco Crédito e Inversiones (BCI),Maestro,3 ACEQUIAS,02267,Región de Valparaíso
franklinsheila@outlook.cl,EEEONE For MUSICAL FIDELITY E600 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,341.12,MercadoPago,Banco Consorcio,Mach,SAN DIEGO,7382,Región de Ñuble
pschmidt@outlook.cl,EEEONE Marantz CD7300 CD-7300 CD Player VAM2201/07 VAM2202 15P Laser Lens Lasereinheit Optical Pick-ups Bloc Optique opticals,469.99,PagoFacil,Banco Santander Chile,Visa,CALICHE,0309,Región de Atacama
adamkennedy@outlook.cl,"CD Optical Pickup Lens, Superior Sound Quality Repair Part Professional ABS Optical Pick Up Lens for CD DVD Player (With Rack)",98.92,Paypal,Banco Falabella,Visa Débito,BIO BIO,1487,Región de Tarapacá
schneiderrichard@gmail.cl,"CD Optical Pickup Lens, Compact CD Replacement Optical Lens Fast Playback Precise and Durable for CD Player (Double Layers New Single Head)",119.48,OnePay,Banco de Chile,MasterCard,LUIS CRUZ MARTINEZ,6293,Región de Coquimbo
andreasawyer@yahoo.com,EEEONE For PHILIPS CD753 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals (Color : PHILIPS),13.45,Fintoc,Banco Estado (Banco del Estado de Chile),Redcompra,REUMEN,5961,Región de La Araucanía
james90@msn.com,EEEONE For SONY CDP-608ESD CDP608ESD dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick opticals,249.99,Flow,Banco Itaú-Corpbanca,Tenpo,GENERAL OSCAR BONILLA BRADANOVIC,0,Región de Los Ríos
cirwin@gmail.cl,KSM 213CDM Optical Pickup Lens Pick Up Lens with Mechanical Device for CD Player,89.95,WebPay,Banco Ripley,American Express,GABRIELA MISTRAL,996,Región de Magallanes y de la Antártica Chilena
thomassmith@msn.com,Zahara CD Player Belt Kit for Sony 300 CDP-CX300 CDP-CX355/CDP-CX250 200 /CDP-M33ES M33 ES 400 /CX985V 400,74.99,Mach,Banco Internacional,MasterCard Débito,LAS DELICIAS,530,Región Metropolitana de Santiago
jasonwilkins@yahoo.cl,EEEONE For MUSIC HALL CD-25 CD25 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals (Color : MUSIC HALL),44.99,Tenpo,Banco BICE,Diners Club,SAN CRISTOBAL,03543,Región de Los Lagos
christopher11@yahoo.com,EEEONE Replacement for Marantz DV9600 DV9500 DV-9600 DV-9500 SACD DVD Laser Lens Optical Pick-ups Bloc Optique,48.53,MercadoPago,Scotiabank Chile,Magna,QUINTA NORMAL,5514,Región de Antofagasta
elizabethwebster@outlook.cl,EEEONE For NAD 5100 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up,19.6,PagoFacil,Banco Security,Maestro,ESPAÑA,1050,Región del Maule
meganmarshall@icloud.com,"Replacement Optical Pickup Lens, ABS Repair Part Stable DVD Optical Pickup Lens Professional Top Sound Quality for DVD CD Player (Double Layer New with Tantalum Capacitor Single)",51.48,Paypal,Banco Crédito e Inversiones (BCI),Mach,MERCED,7272,Región de Arica y Parinacota
catherinemunoz@live.com,"Risegun Optical Pick UP Laser Lens, KES-850A DVD Mechanism Replacement Parts, DVD Drive Replacement Part Lens, for Wii Game Console CD DVD Player Plug-and-Play Unit",49.56,OnePay,Banco Consorcio,Visa,PUERTO NATALES,943,Región del Biobío
jill93@outlook.com,EEEONE For AKAI CD-69 CD69 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,13.0,Fintoc,Banco Santander Chile,Visa Débito,SANTA INES,1697,Región del Libertador General Bernardo O'Higgins
mcknightdiana@hotmail.cl,EEEONE For MISSION-Cyrus dAD3Q dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,22.99,Flow,Banco Falabella,MasterCard,ENRIQUE VILLEGAS,7137,Región de Aysén del General Carlos Ibáñez del Campo
zdiaz@gmail.cl,Dacvgog 2pcs RC300 6000RPM DC 1.5-9V Mini Motor for CD DVD Player,159.99,WebPay,Banco de Chile,Redcompra,ERCILLA,6490,Región de Valparaíso
allenjohn@outlook.cl,For CREEK EVO CDP/TRIODE TRV-CD3 / VINCENT CD-S1.1 S2 S4 Optical Pickup opticals,51.48,Mach,Banco Estado (Banco del Estado de Chile),Tenpo,FLOR DE CHILE,02452,Región de Ñuble
thenderson@outlook.com,"CREATIVE Stage SE Under-monitor Soundbar with USB Digital Audio and Bluetooth 5.3, Clear Dialog and Surround by Sound Blaster",50.37,Tenpo,Banco Itaú-Corpbanca,American Express,IRARRAZAVAL,4870,Región de Atacama
qcarter@outlook.cl,EEEONE For CEC CD3800 CD-3800 CD5300 CD-5300 Laser Lens Lasereinheit Optical Pick-ups opticals,899.0,MercadoPago,Banco Ripley,MasterCard Débito,SAN CRISTOBAL,7023,Región de Tarapacá
rojaserin@yahoo.cl,"Optical Pickup, Compact High Speed Reading Optical Head Non Crack Aluminum Alloy Continuous Operation Mode for CD",118.73,PagoFacil,Banco Internacional,Diners Club,CIENFUEGOS,4834,Región de Coquimbo
johnoliver@msn.com,EEEONE Original Replacement For DENON DCD-1650AL CD Player Laser Lens Lasereinheit Assembly DCD1650AL Optical Pick-up Bloc Optique Unit,51.03,Paypal,Banco BICE,Magna,SANTA LUCIA,7374,Región de La Araucanía
lambertlindsay@msn.com,EEEONE For PIONEER PD-6700 PD6700 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,186.12,OnePay,Scotiabank Chile,Maestro,LLULLAILLACO,921,Región de Los Ríos
destiny61@outlook.cl,"Audible Fidelity Soundbar, Bluetooth Sound Bar for TV and PC, Compact with RGB LED Display, Air Tube & 2.0 Channel Amplifier Wireless with Remote Control for Computer and Laptop Gaming",47.65,Fintoc,Banco Security,Mach,PUNTA ARENAS,6658,Región de Magallanes y de la Antártica Chilena
psantiago@hotmail.cl,Replacement For KENWOOD DPF-7002 CD Player Spare Parts Laser Lens Lasereinheit ASSY Unit DPF7002 Optical Pickup Bloc Optique opticals,35.99,Flow,Banco Crédito e Inversiones (BCI),Visa,ARMANDO CARRERA,7530,Región Metropolitana de Santiago
greenekatherine@outlook.cl,EEEONE Replacement for PHILIPS AZ1515 AZ-1515 AZ 1515 Radio CD Player Laser Head Optical Pick-ups Repair Parts opticals,129.99,WebPay,Banco Consorcio,Visa Débito,20 DE AGOSTO,1225,Región de Los Lagos
fshort@yahoo.cl,"OLLIRG Portable DVD player 12.1 Inch Flip Down Monitor 1080P HD Player FM HDMI Ultra Thin Car DVD Player 2-Way Video Input Car Roof Mounted LCD Monitor for Car (Color : 12.1 inch black MP5, Size : 1)",41.62,Mach,Banco Santander Chile,MasterCard,AGUSTIN EDWARDS,7431,Región de Antofagasta
kylieramsey@hotmail.com,EEEONE For SONY CDP-X111ES CDPX111ES dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick opticals,27.54,Tenpo,Banco Falabella,Redcompra,JUAN XXIII,6012,Región del Maule
emilyharrison@hotmail.com,Ruark Audio R2 Mk4 (Espresso) Streaming Music System,59.98,MercadoPago,Banco de Chile,Tenpo,PUNTA ARENAS,578,Región de Arica y Parinacota
nhayden@msn.com,GatherTOOL Square Flat Mixed Belt For Tape Recorder DVD CD BD ROM Optical Drive Walkman Repeater Video Recorder Cassette Deck (Color : 40-65-2mm 20pcs),41.82,PagoFacil,Banco Estado (Banco del Estado de Chile),American Express,TEATINOS,0291,Región del Biobío
rmiller@outlook.cl,"Adiport Portable Bike Speaker,Bluetooth 5.0 Wireless Bicycle Speakers with Enhanced Bass&Loud Sound,10H Playtime,IPX7 Waterproof&Shockproof for Outdoor Riding",88.48,Paypal,Banco Itaú-Corpbanca,MasterCard Débito,MATUCANA,6835,Región del Libertador General Bernardo O'Higgins
